settled_date,league,home_team,away_team,market,bets,staked,profit_loss,roi_pct,pdf_proof
2026-04-12,Premier League,Burnley,Brighton,1X2,2,200,-79,-39.5,https://wykjlhbsxparltxazxmk.supabase.co/storage/v1/object/public/bets-pdf/1379281_1x2_11.04.2026%20Burnley%20vs%20Brighton%20&%20Hove%20Albion%20(1x2).pdf
2026-04-12,Premier League,Arsenal,Bournemouth,1X2,2,200,68,34,https://wykjlhbsxparltxazxmk.supabase.co/storage/v1/object/public/bets-pdf/1379279_1x2_11.04.2026%20Arsenal%20vs%20AFC%20Bournemouth%20(1x2).pdf
2026-04-13,Ligue 1,Lyon,Lorient,1X2,2,200,-83,-41.5,https://wykjlhbsxparltxazxmk.supabase.co/storage/v1/object/public/bets-pdf/1387953_1x2_12.04.2026%20Olympique%20Lyonnais%20vs%20Lorient%20(1x2).pdf
2026-04-13,Bundesliga,FSV Mainz 05,SC Freiburg,1X2,3,300,-135,-45,https://wykjlhbsxparltxazxmk.supabase.co/storage/v1/object/public/bets-pdf/1388564_1x2_12.04.2026%20FSV%20Mainz%2005%20vs%20SC%20Freiburg%20(1x2).pdf
2026-04-13,La Liga,Osasuna,Real Betis,1X2,3,300,-49,-16.3,https://wykjlhbsxparltxazxmk.supabase.co/storage/v1/object/public/bets-pdf/1391125_1x2_12.04.2026%20CA%20Osasuna%20vs%20Real%20Betis%20(1x2).pdf
2026-04-13,La Liga,Athletic Club,Villarreal,1X2,2,200,-9,-4.5,https://wykjlhbsxparltxazxmk.supabase.co/storage/v1/object/public/bets-pdf/1391119_1x2_12.04.2026%20Athletic%20Bilbao%20vs%20Villarreal%20CF%20(1x2).pdf
2026-04-13,La Liga,Celta Vigo,Oviedo,1X2,2,200,26,13,https://wykjlhbsxparltxazxmk.supabase.co/storage/v1/object/public/bets-pdf/1391121_1x2_12.04.2026%20Celta%20Vigo%20vs%20Real%20Oviedo%20(1x2).pdf
2026-04-13,La Liga,Mallorca,Rayo Vallecano,1X2,1,100,46,46,https://wykjlhbsxparltxazxmk.supabase.co/storage/v1/object/public/bets-pdf/1391124_1x2_12.04.2026%20RCD%20Mallorca%20vs%20Rayo%20Vallecano%20(1x2).pdf
2026-04-13,Ligue 1,Toulouse,Lille,1X2,1,100,36,36,https://wykjlhbsxparltxazxmk.supabase.co/storage/v1/object/public/bets-pdf/1387958_1x2_12.04.2026%20Toulouse%20vs%20Lille%20OSC%20(1x2).pdf
2026-04-13,Ligue 1,Nice,Le Havre,1X2,2,200,83,41.5,https://wykjlhbsxparltxazxmk.supabase.co/storage/v1/object/public/bets-pdf/1387955_1x2_12.04.2026%20OGC%20Nice%20vs%20Le%20Havre%20(1x2).pdf
